tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
MASTER,8JoUK2tghcZa5VboHqu2PESG3-VFeM88K_GXk0j9uSyvEan34-FlsN-XcCw_qcfBxDvICCTSTfiYCA,118,45,39,False,False,False,False
MASTER,Pgvwm3Xd3C3lyOCsSfVjBLAvl63gadpUH2jiNBv1SWEebkI94bOtVgW5h4hrBMVEU8DWc-Bq_bPoGw,526,69,65,True,False,False,False
MASTER,Cw_-72pCzBAaeCJ5Z-bXWpIX1_07i1v-wyPgPJJK5iKcTgPKIQMfAUZhJnu4VcwZO4gMvZ_zITL8qw,175,58,26,True,False,False,False
GRANDMASTER,1TiInyR9rWiAMhHt6eIZIpuc95mssBT2hsEWHIPMUFAu2tVLohmxsFrus-ARdiMqVHuGu2PxgxHaSA,680,73,54,False,False,False,False
MASTER,HlG2crRGRcx7n4BusH-pqCoy9anAT9oPnvDtKM6t6T57tjxYDeB_WVnOheATr2TL7gkHrof4mjAIgA,139,27,21,False,False,False,False
MASTER,YxIUQ4ihclCMl0s1P1TOV2-wprdAvIuOTQKHZ5CijcoJq2bRIjXMPBVzJA0eZkH_3JxM2EWFwbTkiw,17,46,29,False,False,True,False
MASTER,5OKUrIDFkplmpgC1U6phDlkG5JTgXCwIaBgGZrI4z_zWyzazWJgKub6tgmAX-av0PX1ftjMGUux0wQ,391,132,119,False,True,False,False
MASTER,m-2MekK1TROnGCJnklbP-MZ8DpNUOa7XgkIwzL5-dQ9riFWXfhdYFozn6DGTO05UKxmE3j5OjAPEpQ,24,40,24,True,False,True,False
MASTER,YvQnKJnejih27fLYPnCUc9YPEUB6TgnBgkfAN_K4gE_ZvkbgamPrqHvlUogPOeDIRqqTMZFStR9AxA,200,77,66,True,True,False,False
MASTER,AI7ozOVnXNVyoX9VsMlsdFRxsg4zCxmaeCaYMG5PRf1hKKxLJLJXZxmmxDtYbHa7X344HXSH_ZySdA,101,26,17,False,False,True,False
MASTER,wWiMq66_D_HnHsjNkqfXSJlhIMj8Yvm7c3ADaykoD8ErnotWn1pGRKcW0PBNoqk7_l1aFiiPPNrjqA,273,115,96,False,True,False,False
MASTER,ABqzGQ5Hltdue03kf2Wj93mUOB-_rQBzq3Tx2t3sNuhuoU6pxBlmz-iNtRMOxN2HS332MD-aejHu6Q,96,25,21,True,False,True,False
MASTER,emsc1UI0K2M7PBsgprQOEcZDXymvm5xdj64u1w_T7po18IJWcOPnjmW9sYkpVDjAOrv6i607NQNBRw,0,49,35,False,False,False,False
MASTER,SK2JPZSuOSjeCeeECgqlcydwGoCmA3477w-lF--2BY83IOIAFwDoKUCnQ2P1CqyaABaNIasAXCtcZQ,433,173,189,False,False,False,False
CHALLENGER,fZmaOYyDeyc52Ih2vTKZ1Ing_SexCbCHR5gpzgcTvJfCeaJtMeQVCDnAIvyyQNqYa5FPF3fy_0gZMA,1034,99,62,False,False,False,False
MASTER,4Xv9CD11NHG7uZSY8yESwU431wf62N9NrBVcWvCjFZTmLA--ITVqElJ59vTHdq-aws1_Udb0o62-MQ,310,154,150,False,False,False,False
MASTER,YmLgeZK9QKPvDjxcW3XvUEBGfpyX4tKvmpVWarBxQVFNMOkXBCMc3GbsOwbDGMJTRbGM884HFdnAkA,528,103,94,False,False,True,False
MASTER,n6lygfnf9BSw2e8dBL0RJnwxg3k5g_FhQuchE7XbFW07upoGIK0PRdz03sU670swRHnHqe3BySrEtw,39,86,69,False,False,False,False
MASTER,aX-QRiopThw6zUXbKMxXUMe9cESjR7k8MQ49b9JBoJ_sIWRmSi31xHKtEjhnbXyqNVH73lYwq-imtQ,321,54,33,False,False,False,False
MASTER,dAZ4Zso0E4zLpb25h9vzcFLV2Rw74Vx03ZwcemkjFBBuiru6Qe-vRk0l5nL2Ghlezo0STNXihof2Og,5,30,26,False,False,False,False
MASTER,Y8Zj8ImQfRZa4Q1xaSUZaAfAXaU6IpF0dDR9-IoijHu7uyxa85Ecn0jvwB9PxFRdXA2MAWEVwkMqfQ,327,44,37,False,False,False,False
MASTER,FlSVi7Cu-4TxJ5IoW-gCSKHUfgT389IMui10k2gK8VZZlynDMYpMZwIW8m8PCRdTZ1_aF9Elt6Zzow,56,32,25,False,False,False,False
MASTER,9xteeNwA1zLQGVz-tbEBYDoi-c3O-bbAWre-ylrIN1svO64KiUPkhyaSrZFvxuXceLBksTkIxbq2WQ,63,84,80,False,False,True,False
MASTER,n0rT78uwWIsi2CvvJSPMuqAh8Cq65R1fbJfawdI_BpA8o58piIooMlFu3pxPgwAoBBE3Z-K2uUW0lw,437,105,111,False,False,False,False
MASTER,_KdAGbT67DZXVPrUURVn2-3CzZ4Lxb-bQhua5FfoVUXp8XFrv0h524GhXG3_uVoiOEoHVrl0GtStxw,227,37,34,False,False,False,False
MASTER,A0DPEttb_9jS3D1UwST63knaei0LbjJp1FOpxB5PS8qoxcNyy6ptRhnl5_A4YG9aps0pYA8cyRtO9w,113,34,35,False,False,False,False
MASTER,820Wk1HF5bc7Agd9_vI7F1aUVhpEVJgStSHTYeNY6hhqWQQ6fCtX-xew5aoCvXM4O1v8e_4iCa86cA,165,32,29,False,False,False,False
MASTER,14TOwX-a7LH-vyIMtuYRMSgpgjInlHmNLj73E3HOU38Fosg3qEy4LecmLpCveOjWsdei94jU7jSayQ,119,70,67,False,False,False,False
MASTER,7d5QFIJqsmnD1DBtIsUzpmWyxJ5jpLqdPlvrXG-TBEXeSFTWI6mpC3oRe6tZOBQktVwfJ4qM5KB_Hw,357,55,48,False,False,False,False
MASTER,v8VFnw8MHbJ4CMFHqICfImYPHtxWuNnS9v5zHUXilft1zoB6oBqHhif2BImG1qFMpAkWxgOVqQpHdw,240,82,79,False,False,False,False
MASTER,1ZUmdeNo6FU2gS1tEYfGa3XRlHSbTX1Lweo8H7u5ncD9JvWj0bc5o9g3pphpttopVAFDnQ3HEb2uOw,499,101,89,False,False,True,False
MASTER,XtRrAz6b9g72JDbR6ygSW9MuKeI-bVYaWZT48Ymmlerkir_P3wKOOq1c5jk_3aM300Zuy-71XdYP6A,218,90,77,False,False,False,False
MASTER,ZUQg783mGhFHxzG8uZEwDdZimmTQGVtKyHIba8tBUkKXZfY0-hpI1tXQsa60kCAOUctAmKZcM0feDQ,73,26,19,False,False,True,False
MASTER,f4xDiupU_HaX9_yvID5tNAKOflFx8jwfFUwxUJ4lbQc0O3oSNsM_30X3Mnd3ziA8Ow9nJkN1elWk1A,583,122,87,True,False,False,False
MASTER,iTJ0UEvz5O-jgxFU0d8XF7GKbNUwzgEhPzW0HTkZoLLcXNEhOQWbpg2X1swRvi3OgNK3O5y80S-ohg,249,36,24,False,False,False,False
MASTER,q8xV5cStSGV_okI0nDF0MlUYfooSMAhjXIhMBQgib2NUkpsrbomw4tM8umLhTChV9KQK9c1pa1HcUw,367,49,42,False,False,False,False
MASTER,31hHXTjlJQzCJLjsjacccbAvA4teSwlGHytw8mq_WAY_fnGqD8fQmXFB38VDnbeouIby97OOPasizQ,357,43,29,True,False,False,False
MASTER,VCEeTVWocwCAkruR0Mlq3MhZA24b5Qu7rODL0wSdjydMWaHUE5g7KHbWUpFCRORVweQ92ExycGH1hA,65,60,57,False,False,True,False
MASTER,Gq4DqrqLDz1FEhvWhWlbRCgEQBruHQX1uGfzvFh7gO6yluC5tYgQWmnnA_n3i_P9zJ7l5ps7wjIblw,281,43,32,False,False,False,False
MASTER,qbN3-_BiE57_kAU3t2Ph4nME709CyOTB9ZPTIgJIICcVF2U3j6iogtdhv_dCJvYGf64AEyTcBfei8A,198,30,25,False,False,False,False
MASTER,y6W5XCuxB7_n9Swwk9g4Sflmj0m0Y_bm9XI-t_Yb79RGcciGFsDxQ5CdTeuYuc7w38Drhq9avzidYw,354,168,203,True,True,False,False
MASTER,04rd3_gfpGBQZF4OEzUYdRxmSjVq6zbyYxcPlb9QmfIRsZCSKmB8TysV8PaSjYNBxdu4L9Q8j1Sk0g,393,76,72,False,False,False,False
MASTER,IBlN258bixrPgj4GRwFl-c_lB0Bf_P6RXUYbzjpdLfZrmf040PaD2iPSPjYzZVYiAgclleK-VjH_tw,235,90,79,False,False,False,False
MASTER,YcOwyyUvf5yPBn4tJsBOm5vQJ0BUVr3wS2vtHY1GBz-py1PA6SJwc1bLoDBJPO3ImY3ffj8AnlJWCQ,59,35,47,False,False,False,False
MASTER,wyeiQsrAnw5aKXO8BH5gv1oAt4YrFaHZQ_-PnysOdS80zaNkAIGSMWJtnkeAN_1RjmMtxs4le7ljsg,54,67,94,False,False,False,False
CHALLENGER,8hhtVEhWT2PHJPQeR0NZdW6WVy5usTFW0zsLSM99ypq1dzOgXqPnUgH30waPc6uatZjaafuI1BZZ_A,1128,75,47,True,False,True,False
MASTER,Dtp2jsHZhdovLPxH28qvZpoLvcefH6qOqacu8uG2_T5Yd8OR7ssyt0_rcqRA1NtTE_GGOOZlmj_x4w,462,110,88,True,False,False,False
GRANDMASTER,gRahCTPdvYvSAwyuwsiviT1QuO-2u0bU9uyLWUomf21bv-Z5FIyYpSyTQCgA4YIoU_guBSECbQODuQ,892,94,64,False,False,True,False
MASTER,NSpfM1lQJmavNGFNS1qWBp_zc6yKfWLPH2_ArFVcbu5kLHCNEf_J1Omemsz7tcDBmrIKa9JfH5CCuQ,16,63,60,False,False,True,False
MASTER,hPm8RJQ7sFF1plXqw-NMuNqH6L0N80_3Huz2yWfdDId9aL-TnJEuEFPQQXXRkeZgfdwE_QXCGpHx_A,136,32,26,False,False,False,False
MASTER,KvBWsHuX5wsHnSGinTyIRoLbkgtj7t5bNIUGi2NT1BqUxxvYzgCNjovk3-U_nrP7T8mZ5y7soXi_MA,35,255,227,False,False,True,False
MASTER,HDXNL0AghZcU5v9AY32D0Lq6UJvEJvLK-ZPp99PrJC3JLU4rGr-psv1_ex579Jle6vJkGyNprZbOFA,0,80,91,False,False,False,False
MASTER,PJ-rq2qy7dCYAAXc6OnMoBLo0w4VeR5XWWwBDZ0Cc68W23DdRU6mSch5QOv2GKVxAbIL4XIgPhX1eA,446,65,62,False,False,False,False
MASTER,UM6WvEuiFlR8PSg9GrMWd7k4zqF5acBUN6vKoKPOPwx5B3mb4Vuuoasxm8PbpiSxSluRH180ORARbg,302,75,78,False,False,False,False
MASTER,FBD99GSby_atQGgOXdoH5c9ocPNsuODkXSpw45LKzW7aIcbBY_sJ9sI4Wh49LTcMynWJ8_2VIqL-3w,0,29,22,False,False,False,False
GRANDMASTER,VwnFt64aZvp-b05avv930cJNcWQaGyeqoQ2b8Q0HzDndftyFZB5Xk6mmW_ELr_7WRmGMFcSi6RKjqg,705,75,64,False,False,False,False
MASTER,-t_NYA-yROJc7nuXWYhQw1aSG3cIq3BUIiUlmLAlohXHZWctvz7P3OwDuHpWc9zGxVzMYnycT-Cuig,57,49,45,False,False,False,False
MASTER,gvKHFAdd2XUZAvPOYUHClTunVNqtZHlY-7GuZFiqxsYYdj86EJAGk1QoJaXdg8zqhf3aocfchvV_jQ,273,72,49,False,False,False,False
MASTER,QOJzROeij-ll-FybBtpZbw287w87e4lrSvYyTl13G4if8pQ1r32cEN-H2-Clh1HNv55bp5AApigiAg,217,84,83,False,False,False,False
MASTER,vK8MYyPoScbIHubJXT1a4N27MhN_zktK0ivG4VDnxy1ZteT3xiwVLgrWTEIAQnyDL0MKOB3b7SFQmg,514,97,87,True,False,True,False
MASTER,1QVDKLovq-m4Xkc8u2t6RjhdgBIzWZkTrS6Oe7_Gv4FfO9BQxeJZDnbneidY252HDemRbNdokgAx2g,522,47,36,False,False,False,False
MASTER,Ccjt7oIL2q-DFL6NUZ1J5LheWwrC79NIwVJfAOx7dFEacH8DaXMOoesSH8oky4yB1u_B9pgBfh01Xw,338,56,48,False,False,False,False
